,album,composer,length,title,artist,albumartist,organization,tracknumber,genre,date
71,Cordial,Jean Frechette/Michel Bordeleau/Traditional,156800,J'Ai Fait une Maîtresse (I Got Me a Mistress),La Bottine Souriante,La Bottine Souriante,Les Productions Mille-Pattes,9,World,2001
72,En Spectacle,-,301626,Le Lanlire (La Poule à Colin),La Bottine Souriante,La Bottine Souriante,Les Productions Milles-Pattes,11,World,2006
73,En Spectacle,-,438800,La Grand Côte,La Bottine Souriante,La Bottine Souriante,Les Productions Milles-Pattes,15,World,2006
74,En Spectacle,-,231200,Sur La Route (La Tapinie),La Bottine Souriante,La Bottine Souriante,Les Productions Milles-Pattes,2,World,2006
75,En Spectacle,-,236573,À Travers La Vitre,La Bottine Souriante,La Bottine Souriante,Les Productions Milles-Pattes,12,World,2006
76,En Spectacle,-,303693,Suite de La Sauvagesse,La Bottine Souriante,La Bottine Souriante,Les Productions Milles-Pattes,3,World,2006
77,En Spectacle,-,264773,Le Voyage de Basile,La Bottine Souriante,La Bottine Souriante,Les Productions Milles-Pattes,5,World,2006
78,En Spectacle,-,187333,Le Rêve Musiçal (Le Rêve du Quéteux Tremblay),La Bottine Souriante,La Bottine Souriante,Les Productions Milles-Pattes,8,World,2006
79,En Spectacle,-,255066,La Chanson de l'Ivrogne,La Bottine Souriante,La Bottine Souriante,Les Productions Milles-Pattes,13,World,2006
80,En Spectacle,-,489600,Ouverture,La Bottine Souriante,La Bottine Souriante,Les Productions Milles-Pattes,1,World,2006
81,En Spectacle,-,329600,Chapeau,La Bottine Souriante,La Bottine Souriante,Les Productions Milles-Pattes,6,World,2006
82,En Spectacle,-,231000,Galoppe et Quadrille,La Bottine Souriante,La Bottine Souriante,Les Productions Milles-Pattes,10,World,2006
83,En Spectacle,-,95893,Son P'tit Bidoulidou,La Bottine Souriante,La Bottine Souriante,Les Productions Milles-Pattes,16,World,2006
84,En Spectacle,-,113200,Virginie Adieu,La Bottine Souriante,La Bottine Souriante,Les Productions Milles-Pattes,7,World,2006
85,En Spectacle,-,266160,La Cuisinière,La Bottine Souriante,La Bottine Souriante,Les Productions Milles-Pattes,14,World,2006
86,En Spectacle,-,247400,Ch'pas Capable (La Montagne du Loup),La Bottine Souriante,La Bottine Souriante,Les Productions Milles-Pattes,4,World,2006
87,En Spectacle,-,273866,Un Coup Madame,La Bottine Souriante,La Bottine Souriante,Les Productions Milles-Pattes,9,World,2006
88,So Beautiful or So What,Paul Simon,229720,Rewrite,Paul Simon,Paul Simon,Universal,4,Pop,2011
89,So Beautiful or So What,Paul Simon,220173,The Afterlife,Paul Simon,Paul Simon,Universal,2,Pop,2011
90,So Beautiful or So What,Paul Simon,96573,Amulet,Paul Simon,Paul Simon,Universal,7,Pop,2011
91,So Beautiful or So What,Paul Simon,246720,Getting Ready for Christmas Day,Paul Simon,Paul Simon,Universal,1,Pop,2011
92,So Beautiful or So What,Paul Simon,272320,Dazzling Blue,Paul Simon,Paul Simon,Universal,3,Pop,2011
93,So Beautiful or So What,Paul Simon,229906,Questions for the Angels,Paul Simon,Paul Simon,Universal,8,Pop,2011
94,So Beautiful or So What,Paul Simon,242160,Love Is Eternal Sacred Light,Paul Simon,Paul Simon,Universal,6,Pop,2011
95,So Beautiful or So What,Paul Simon,248560,So Beautiful or So What,Paul Simon,Paul Simon,Universal,10,Pop,2011
96,So Beautiful or So What,Paul Simon,249480,Love and Hard Times,Paul Simon,Paul Simon,Universal,5,Pop,2011
97,So Beautiful or So What,Paul Simon,258160,Love & Blessings,Paul Simon,Paul Simon,Universal,9,Pop,2011
98,Graceland,Paul Simon,198560,All Around The World Or The Myths Of Fingerprints (Early Version),Paul Simon,Paul Simon,-,14,Contemporary Folk,1986
99,Graceland,Paul Simon,281413,Diamonds On The Soles Of Her Shoes (Alternate Versioin),Paul Simon,Paul Simon,-,13,Contemporary Folk,1986
100,Graceland,Paul Simon,578960,"The Story Of ""Graceland""",Paul Simon,Paul Simon,-,15,Contemporary Folk,1986
101,Graceland,Paul Simon,291200,Graceland,Paul Simon,Paul Simon,-,2,Contemporary Folk,1986
102,Graceland,"Paul Simon, Joseph Shabalala",228413,Homeless,Paul Simon,Paul Simon,-,8,Contemporary Folk,1986
103,Graceland,"Paul Simon, Joseph Shabalala",351346,Diamonds On The Soles Of Her Shoes,Paul Simon,Paul Simon,-,5,Contemporary Folk,1986
104,Graceland,Paul Simon,259360,"Crazy Love, Vol. II",Paul Simon,Paul Simon,-,9,Contemporary Folk,1986
105,Graceland,Paul Simon,217160,Under African Skies,Paul Simon,Paul Simon,-,7,Contemporary Folk,1986
106,Graceland,Paul Simon,280586,You Can Call Me Al,Paul Simon,Paul Simon,-,6,Contemporary Folk,1986
107,Graceland,Paul Simon,150546,Homeless (Demo),Paul Simon,Paul Simon,-,12,Contemporary Folk,1986
108,Graceland,Paul Simon,198426,All Around The World Or The Myth Of Fingerprints,Paul Simon,Paul Simon,-,11,Contemporary Folk,1986
109,Graceland,Paul Simon;Jonhjon Mkhalali;Lulu Masilela,164826,Gumboots,Paul Simon,Paul Simon,-,4,Contemporary Folk,1986
110,Graceland,"Paul Simon, General M.D. Shirinda",193373,I Know What I Know,Paul Simon,Paul Simon,-,3,Contemporary Folk,1986
111,Graceland,-,239693,The Boy in the Bubble,Paul Simon,Paul Simon,-,1,Contemporary Folk,1986
112,Graceland,Paul Simon,172813,That Was Your Mother,Paul Simon,Paul Simon,-,10,Contemporary Folk,1986
113,There Goes Rhymin' Simon [Bonus Tracks],Paul Simon,224320,Was a Sunny Day,Paul Simon,Paul Simon,WEA International,7,Rock,2004
114,There Goes Rhymin' Simon [Bonus Tracks],Paul Simon,220426,Loves Me Like a Rock,Paul Simon,Paul Simon,WEA International,10,Rock,2004
115,There Goes Rhymin' Simon [Bonus Tracks],Paul Simon,175506,Tenderness,Paul Simon,Paul Simon,WEA International,2,Rock,2004
116,There Goes Rhymin' Simon [Bonus Tracks],Paul Simon,228146,One Man's Ceiling Is Another Man's Floor,Paul Simon,Paul Simon,WEA International,5,Rock,2004
117,There Goes Rhymin' Simon [Bonus Tracks],Paul Simon,201640,St. Judy's Comet,Paul Simon,Paul Simon,WEA International,9,Rock,2004
118,There Goes Rhymin' Simon [Bonus Tracks],Paul Simon,204680,Loves Me Like a Rock [Acoustic Demo][#][*],Paul Simon,Paul Simon,WEA International,14,Rock,2004
119,There Goes Rhymin' Simon [Bonus Tracks],Paul Simon,227120,American Tune,Paul Simon,Paul Simon,WEA International,6,Rock,2004
120,There Goes Rhymin' Simon [Bonus Tracks],Paul Simon,243173,American Tune [Unfinished Demo][#][*],Paul Simon,Paul Simon,WEA International,13,Rock,2004
121,There Goes Rhymin' Simon [Bonus Tracks],Paul Simon,151106,Take Me to the Mardi Gras [Acoustic Demo][#][*],Paul Simon,Paul Simon,WEA International,12,Rock,2004
122,There Goes Rhymin' Simon [Bonus Tracks],Paul Simon,210853,Take Me to the Mardi Gras,Paul Simon,Paul Simon,WEA International,3,Rock,2004
123,There Goes Rhymin' Simon [Bonus Tracks],Paul Simon,167626,Learn How to Fall,Paul Simon,Paul Simon,WEA International,8,Rock,2004
124,There Goes Rhymin' Simon [Bonus Tracks],Paul Simon,276826,Something So Right,Paul Simon,Paul Simon,WEA International,4,Rock,2004
125,There Goes Rhymin' Simon [Bonus Tracks],Paul Simon,215400,Kodachrome,Paul Simon,Paul Simon,WEA International,1,Rock,2004
126,There Goes Rhymin' Simon [Bonus Tracks],Paul Simon,261973,Let Me Live in Your City [Work-In-Progress][#][*],Paul Simon,Paul Simon,WEA International,11,Rock,2004
